@relation classification
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {Good,Bad,}
@data
4.628263,0.452681,0.548782,0.190127,0.050503,1.501117,209.562821,0.214416,Good
4.628263,0.355678,0.565932,0.178244,0.050503,1.407297,179.625275,0.214416,Good
4.628263,0.355678,0.565932,0.205971,0.070704,1.970216,112.265797,0.256852,Good
4.628263,0.452681,0.548782,0.202010,0.050503,1.501117,209.562821,0.214416,Good
4.628263,0.452681,0.548782,0.202010,0.050503,1.688757,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.225776,0.070704,1.970216,112.265797,0.256852,Good
4.628263,0.452681,0.514484,0.178244,0.057237,1.688757,221.205200,0.221116,Good
4.628263,0.452681,0.617380,0.190127,0.050503,1.548027,209.562821,0.281421,Good
4.628263,0.452681,0.548782,0.196069,0.050503,1.626210,164.656503,0.214416,Good
4.628263,0.452681,0.514484,0.196069,0.050503,1.594937,179.625275,0.241218,Good
4.628263,0.452681,0.583081,0.249542,0.070704,1.407297,209.562821,0.281421,Good
4.628263,0.452681,0.565932,0.202010,0.070704,1.626210,164.656503,0.221116,Good
4.628263,0.452681,0.583081,0.160420,0.050503,1.548027,164.656503,0.227817,Good
4.628263,0.323343,0.594514,0.190127,0.050503,1.548027,169.646094,0.201015,Good
4.628263,0.452681,0.565932,0.178244,0.057237,1.407297,169.646094,0.214416,Good
3.746689,0.452681,0.548782,0.178244,0.070704,1.407297,169.646094,0.227817,Good
4.628263,0.452681,0.720277,0.205971,0.055553,1.594937,209.562821,0.232284,Good
4.628263,0.452681,0.565932,0.196069,0.050503,1.970216,179.625275,0.241218,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.626210,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.227757,0.070704,1.970216,112.265797,0.232284,Good
4.628263,0.344900,0.385863,0.133683,0.037877,1.970216,112.265797,0.150761,Good
3.636492,0.413161,0.565932,0.213893,0.055553,1.688757,179.625275,0.221116,Good
3.636492,0.344900,0.720277,0.249542,0.050503,1.407297,159.666912,0.201015,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.583081,0.202010,0.057237,1.688757,209.562821,0.232284,Good
4.628263,0.452681,0.617380,0.213893,0.050503,1.407297,149.687730,0.281421,Good
4.628263,0.355678,0.565932,0.213893,0.070704,1.970216,179.625275,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.688757,209.562821,0.281421,Good
4.628263,0.452681,0.565932,0.249542,0.055553,1.688757,221.205200,0.281421,Good
4.628263,0.452681,0.583081,0.213893,0.050503,1.688757,179.625275,0.241218,Good
4.628263,0.344900,0.720277,0.213893,0.070704,1.688757,209.562821,0.221116,Good
4.628263,0.344900,0.548782,0.213893,0.070704,1.548027,209.562821,0.221116,Good
4.628263,0.452681,0.720277,0.202010,0.057237,1.407297,149.687730,0.227817,Good
4.628263,0.452681,0.617380,0.178244,0.060604,1.407297,172.972487,0.241218,Good
4.628263,0.452681,0.617380,0.213893,0.060604,1.688757,179.625275,0.221116,Good
4.628263,0.452681,0.565932,0.213893,0.057237,1.688757,209.562821,0.221116,Good
4.628263,0.242508,0.617380,0.213893,0.060604,1.688757,164.656503,0.241218,Good
4.628263,0.452681,0.594514,0.178244,0.058359,1.548027,169.646094,0.201015,Good
4.628263,0.452681,0.583081,0.202010,0.070704,1.594937,209.562821,0.281421,Good
4.628263,0.452681,0.594514,0.249542,0.058359,1.548027,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.178244,0.058359,1.594937,209.562821,0.201015,Good
4.628263,0.452681,0.514484,0.202010,0.050503,1.626210,209.562821,0.227817,Good
4.628263,0.452681,0.617380,0.213893,0.050503,1.688757,209.562821,0.281421,Good
4.628263,0.477830,0.565932,0.213893,0.055553,1.548027,179.625275,0.241218,Good
4.628263,0.388012,0.617380,0.213893,0.060604,1.688757,179.625275,0.241218,Good
4.628263,0.452681,0.617380,0.213893,0.060604,1.688757,164.656503,0.241218,Good
4.628263,0.452681,0.720277,0.205971,0.053870,1.407297,209.562821,0.227817,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.688757,179.625275,0.281421,Good
3.305902,0.452681,0.514484,0.178244,0.055553,1.688757,209.562821,0.201015,Good
4.628263,0.452681,0.583081,0.202010,0.070704,1.970216,209.562821,0.227817,Good
4.628263,0.452681,0.583081,0.202010,0.057237,1.626210,209.562821,0.232284,Good
4.628263,0.452681,0.720277,0.205971,0.053870,1.970216,169.646094,0.232284,Good
4.628263,0.452681,0.548782,0.205971,0.053870,1.970216,209.562821,0.232284,Good
4.628263,0.344900,0.617380,0.196069,0.050503,1.548027,179.625275,0.201015,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.626210,209.562821,0.241218,Good
4.628263,0.452681,0.565932,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.178244,0.070704,1.688757,179.625275,0.281421,Good
3.746689,0.452681,0.583081,0.196069,0.057237,1.548027,159.666912,0.214416,Good
4.628263,0.452681,0.720277,0.205971,0.070704,1.407297,169.646094,0.227817,Good
4.628263,0.477830,0.617380,0.196069,0.060604,1.407297,179.625275,0.221116,Good
4.628263,0.452681,0.617380,0.213893,0.050503,1.548027,209.562821,0.221116,Good
4.628263,0.452681,0.514484,0.190127,0.060604,1.548027,209.562821,0.201015,Good
4.628263,0.355678,0.583081,0.202010,0.070704,1.970216,209.562821,0.227817,Good
3.820154,0.344900,0.617380,0.190127,0.060604,1.970216,164.656503,0.232284,Good
4.628263,0.452681,0.565932,0.205971,0.060604,1.407297,209.562821,0.201015,Good
4.628263,0.452681,0.720277,0.178244,0.050503,1.548027,164.656503,0.281421,Good
3.746689,0.452681,0.583081,0.249542,0.057237,1.688757,209.562821,0.241218,Good
4.628263,0.366456,0.583081,0.202010,0.070704,1.594937,209.562821,0.281421,Good
4.628263,0.388012,0.565932,0.213893,0.060604,1.594937,209.562821,0.241218,Good
4.628263,0.452681,0.617380,0.196069,0.070704,1.548027,169.646094,0.221116,Good
4.628263,0.452681,0.548782,0.205971,0.070704,1.970216,209.562821,0.227817,Good
4.628263,0.344900,0.720277,0.205971,0.050503,1.688757,209.562821,0.232284,Good
4.628263,0.452681,0.617380,0.213893,0.053870,1.688757,172.972487,0.281421,Good
4.628263,0.452681,0.617380,0.213893,0.060604,1.688757,179.625275,0.241218,Good
4.628263,0.388012,0.617380,0.213893,0.060604,1.688757,209.562821,0.227817,Good
4.628263,0.452681,0.720277,0.249542,0.058359,1.407297,209.562821,0.281421,Good
3.820154,0.452681,0.514484,0.205971,0.070704,1.548027,209.562821,0.232284,Good
3.967083,0.344900,0.617380,0.178244,0.058359,1.501117,209.562821,0.221116,Good
4.628263,0.452681,0.594514,0.190127,0.070704,1.970216,172.972487,0.232284,Good
4.628263,0.452681,0.514484,0.178244,0.070704,1.407297,209.562821,0.221116,Good
4.628263,0.452681,0.617380,0.213893,0.070704,1.970216,191.267654,0.241218,Good
4.628263,0.452681,0.565932,0.249542,0.070704,1.970216,209.562821,0.281421,Good
3.526296,0.452681,0.720277,0.213893,0.060604,1.970216,221.205200,0.241218,Good
4.628263,0.452681,0.720277,0.249542,0.060604,1.970216,112.265797,0.281421,Good
3.746689,0.452681,0.720277,0.213893,0.060604,1.688757,209.562821,0.221116,Good
4.628263,0.452681,0.385863,0.133683,0.037877,1.970216,112.265797,0.150761,Good
4.628263,0.452681,0.565932,0.178244,0.050503,1.970216,209.562821,0.221116,Good
4.628263,0.366456,0.594514,0.249542,0.070704,1.970216,112.265797,0.281421,Good
4.628263,0.344900,0.720277,0.249542,0.058359,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.249542,0.055553,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.565932,0.249542,0.053870,1.970216,209.562821,0.281421,Good
4.628263,0.344900,0.720277,0.202010,0.070704,1.548027,209.562821,0.201015,Good
4.628263,0.344900,0.617380,0.249542,0.060604,1.594937,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.514484,0.196069,0.060604,1.688757,149.687730,0.281421,Good
4.628263,0.344900,0.548782,0.249542,0.070704,1.626210,209.562821,0.201015,Good
4.628263,0.452681,0.548782,0.178244,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.057237,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.583081,0.249542,0.053870,1.626210,209.562821,0.281421,Good
3.967083,0.452681,0.720277,0.202010,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.344900,0.720277,0.249542,0.070704,1.970216,209.562821,0.227817,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,179.625275,0.281421,Good
4.628263,0.373641,0.720277,0.196069,0.050503,1.548027,209.562821,0.281421,Good
4.628263,0.344900,0.720277,0.202010,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.227817,Good
4.628263,0.366456,0.720277,0.249542,0.070704,1.970216,209.562821,0.227817,Good
3.967083,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.214416,Good
3.820154,0.452681,0.720277,0.249542,0.070704,1.626210,209.562821,0.232284,Good
4.628263,0.452681,0.720277,0.202010,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.688757,209.562821,0.227817,Good
4.628263,0.452681,0.617380,0.205971,0.070704,1.688757,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.249542,0.055553,1.970216,179.625275,0.281421,Good
4.628263,0.242508,0.617380,0.249542,0.060604,1.688757,179.625275,0.281421,Good
4.628263,0.452681,0.617380,0.205971,0.060604,1.970216,149.687730,0.221116,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,179.625275,0.281421,Good
4.628263,0.452681,0.565932,0.202010,0.070704,1.970216,179.625275,0.281421,Good
4.628263,0.452681,0.617380,0.178244,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.242508,0.720277,0.249542,0.057237,1.626210,209.562821,0.241218,Good
4.628263,0.242508,0.617380,0.205971,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.344900,0.720277,0.223796,0.050503,1.970216,149.687730,0.256852,Good
4.628263,0.242508,0.565932,0.249542,0.055553,1.688757,164.656503,0.281421,Good
4.628263,0.242508,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.373641,0.720277,0.190127,0.050503,1.407297,209.562821,0.227817,Good
4.628263,0.452681,0.720277,0.178244,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.366456,0.617380,0.190127,0.070704,1.970216,169.646094,0.201015,Good
4.628263,0.452681,0.720277,0.213893,0.070704,1.548027,209.562821,0.281421,Good
4.628263,0.452681,0.565932,0.202010,0.070704,1.970216,179.625275,0.221116,Good
4.628263,0.452681,0.720277,0.249542,0.057237,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.057237,1.407297,164.656503,0.227817,Good
4.628263,0.452681,0.720277,0.249542,0.057237,1.688757,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.594937,209.562821,0.227817,Good
4.628263,0.373641,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.477830,0.548782,0.249542,0.050503,1.970216,172.972487,0.281421,Good
4.628263,0.452681,0.720277,0.213893,0.058359,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.190127,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.213893,0.070704,1.970216,209.562821,0.201015,Good
4.628263,0.452681,0.720277,0.249542,0.057237,1.594937,209.562821,0.281421,Good
4.628263,0.452681,0.617380,0.178244,0.070704,1.688757,209.562821,0.281421,Good
4.628263,0.452681,0.583081,0.178244,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.281421,Good
4.628263,0.452681,0.720277,0.249542,0.060604,1.501117,209.562821,0.201015,Good
4.628263,0.452681,0.720277,0.249542,0.070704,1.970216,209.562821,0.221116,Good
4.628263,0.242508,0.583081,0.249542,0.070704,1.594937,179.625275,0.214416,Good
4.628263,0.373641,0.594514,0.133683,0.074632,1.501117,179.625275,0.150761,Good
3.636492,0.452681,0.720277,0.249542,0.050503,1.970216,159.666912,0.227817,Good
4.628263,0.452681,0.617380,0.249542,0.057237,1.688757,179.625275,0.281421,Good
4.628263,0.388012,0.565932,0.249542,0.053870,1.548027,179.625275,0.281421,Good
4.628263,0.452681,0.720277,0.213893,0.070704,1.970216,209.562821,0.241218,Good
4.628263,0.452681,0.617380,0.202010,0.070704,1.407297,179.625275,0.281421,Good
4.628263,0.366456,0.594514,0.249542,0.053870,1.594937,209.562821,0.281421,Good
4.628263,0.355678,0.720277,0.178244,0.070704,1.501117,209.562821,0.281421,Good
4.628263,0.373641,0.720277,0.249542,0.058359,1.548027,209.562821,0.281421,Good
4.628263,0.388012,0.594514,0.213893,0.070704,1.594937,209.562821,0.281421,Good
4.628263,0.344900,0.720277,0.249542,0.057237,1.970216,209.562821,0.281421,Good
4.628263,0.355678,0.720277,0.249542,0.070704,1.501117,209.562821,0.281421,Good
4.628263,0.366456,0.720277,0.249542,0.057237,1.970216,209.562821,0.281421,Good
4.628263,0.366456,0.720277,0.249542,0.070704,1.407297,209.562821,0.201015,Good
